,crust,crust,crust,lithosphere,lithosphere,lithosphere,sediments,sediments,sediments,serpentinite,serpentinite,serpentinite,organic_sediments,organic_sediments,organic_sediments,total,total,total
,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max
time,,,,,,,,,,,,,,,,,,
43,1876363811.4342055,2228250383.399914,2661207699.93593,725969914.5305896,1360052351.9195862,2106853700.4715757,4474841272.429046,4474841272.429046,4474841272.429046,153321265.15991485,173168706.657191,274289802.92415017,0.0,277129240.2596107,607896397.9888234,7230496263.553756,8513441954.665348,10125088873.749525
44,1875495264.9091785,2227381274.372545,2660365503.636014,727496917.4768982,1359032062.3165035,2102498733.2831059,4350075813.459665,4350075813.459665,4350075813.459665,151911444.10586733,171521760.3044714,272143642.07827246,0.0,274182800.7270933,601433240.3045917,7104979439.95161,8382193711.180279,9986516932.761648
45,1873288807.4056668,2224504309.4958854,2656638082.586258,728501129.3488619,1357980334.11445,2096141854.5913305,4254778584.9041405,4254778584.9041405,4254778584.9041405,149642131.34588063,168963454.52947932,269037595.38647515,0.0,271155000.7404941,594791614.5275353,7006210653.00455,8277381683.784449,9871387731.995739
46,1868664337.16823,2218832981.328079,2649677389.089096,730058023.901346,1356017463.5260358,2090419646.3841228,4162635121.4598837,4162635121.4598837,4162635121.4598837,147586195.5563231,166687088.07924205,266296005.24144626,0.0,269399419.76163334,590940662.7029377,6908943678.085783,8173572074.154874,9759968824.877485
47,1868664337.16823,2218832981.328079,2649677389.089096,730640035.3657422,1356017463.5260358,2090419646.3841228,4088873872.7978187,4088873872.7978187,4088873872.7978187,146254275.72407103,165183376.86737084,264457059.64721343,0.0,264898610.73880213,581067920.3302755,6834432521.055862,8093806305.258106,9674495888.248528
48,1868664337.16823,2218832981.328079,2649677389.089096,732022442.6289084,1356017463.5260358,2088724639.7569003,3925027297.6641827,3925027297.6641827,3925027297.6641827,144814347.11987144,163664049.7563581,262780588.79533625,0.0,263865560.1699579,578801873.921198,6670528424.581192,7927407352.444613,9505011789.226713
49,1868664337.16823,2218832981.328079,2649451333.1339493,733729028.5825286,1356017463.5260358,2087466923.8239746,3855367099.384288,3855367099.384288,3855367099.384288,143847474.2308795,162499669.72479117,261451930.86322868,0.0,261832862.19415647,574343052.5549239,6601607939.365926,7854550076.1573515,9428080339.760365
50,1868664337.16823,2218832981.328079,2648088690.7423143,735575682.2433758,1356017463.5260358,2086130334.762569,3798990433.9473124,3798990433.9473124,3798990433.9473124,142057858.83427832,160381432.88446307,259099898.3753486,0.0,260494867.35676134,571408096.137412,6545288312.193196,7794717179.042652,9363717453.964954
51,1866469561.6134005,2215860069.3030944,2645913933.235111,746207839.8838007,1365647797.2894664,2084986774.4773517,3750001485.3825765,3750001485.3825765,3750001485.3825765,141974697.82313865,160372330.711712,258739337.01554874,0.0,258374259.08463365,566756439.2824221,6504653584.702916,7750255941.771483,9306397969.39301
52,1867770780.1611676,2215629452.1537514,2643706117.734537,747796848.6116035,1366075032.734692,2083504886.9087553,3741154587.107461,3741154587.107461,3741154587.107461,140818499.602925,159026502.87265763,257290005.48814785,0.0,257568753.99664724,564989524.8958714,6497540715.483157,7739454328.86521,9290645122.134773
53,1867770780.1611676,2215629452.1537514,2643706117.734537,749312078.3115773,1366177582.3656483,2082141788.5004416,3736605408.2864122,3736605408.2864122,3736605408.2864122,140623135.80907276,158661815.44859967,256531897.8668318,0.0,255326893.90682065,560071896.3117356,6494311402.56823,7732401152.161232,9279057108.699959
54,1867770780.1611676,2215629452.1537514,2643706117.734537,751963483.4703188,1366177582.3656483,2082141788.5004416,3677316763.5918403,3677316763.5918403,3677316763.5918403,138309904.37864816,156074207.54077864,253630004.8661512,0.0,254715670.75398305,558731148.7506725,6435360931.6019745,7669913676.406003,9215525823.443644
55,1867770780.1611676,2215629452.1537514,2643706117.734537,753409408.0718768,1366177582.3656483,2082141788.5004416,3596496464.153972,3596496464.153972,3596496464.153972,136301029.8126767,153853740.99719888,251019578.4689564,0.0,252628396.30381036,554152611.2470679,6353977682.199693,7584785635.974381,9127516560.104975
