age,depth,sl,MOR_ridge,arc_subduction,rift,carb_platform,intraplate,gross_outflux,net_influx,net_out_incl_sed,net_out_excl_sed,sink_plate_sed,crust_sink
52.0,3298.0,131.535,19.563963515396424,3.727388940093327,14.99694776314642,80.05421257211498,6.0,124.34251279075114,4.70399603330452,4.70399603330452,86.02552087626486,107.93308776877146,26.611562925811125
53.0,3351.15,140.405,19.563963515396424,3.727388940093327,14.99694776314642,80.05421257211498,6.0,124.34251279075114,10.492710372181804,10.492710372181804,85.39145999500835,102.06804099358492,27.16929137075837
54.0,3404.31,144.753,19.563963515396424,3.997577551270395,14.99694776314642,79.85652260376222,6.0,124.41501143357546,9.93021376819361,9.93021376819361,84.82896339102015,102.8223739768799,27.923624354053352
55.0,3485.54,134.68,19.563963515396424,4.0217998118016745,14.99694776314642,71.31090857066526,6.0,115.89361966100978,-9.16399035634916,-9.16399035634916,76.36824908518582,113.52418277003233,27.99194332849735
56.0,3575.29,123.551,19.563963515396424,4.518996360182312,14.99694776314642,68.7901352709263,6.0,113.87004290965146,-11.446447445180183,-11.446447445180183,74.0857919963548,113.37698210280112,27.84474266126616
57.0,3456.38,138.296,19.713744509433955,6.724492472409683,10.621784250457836,55.51413365865045,6.0,98.57415489095192,-24.57861307257241,-24.57861307257241,59.98854037950618,111.14671497025061,26.579561518172024
58.0,3421.04,142.678,19.76825635342427,6.503239948675857,10.621784250457836,55.51413365865045,6.0,98.40741421120842,-26.732394333241515,-26.732394333241515,57.11911980541844,113.09439914214563,29.24288500348568
59.0,3492.67,133.796,19.85920755990488,6.503239948675857,10.621784250457836,55.51413365865045,6.0,98.49836541768904,-23.082036733957597,-23.082036733957597,56.949006856957126,109.70471372836232,29.673670137447598
60.0,3468.52,136.791,19.85920755990488,6.491735887456069,10.621784250457836,55.51413365865045,6.0,98.48686135646923,-16.14855266718402,-16.14855266718402,56.89373463235074,103.21804735577126,30.175760056236506
61.0,3374.01,148.51,19.85920755990488,6.1018608855566345,10.463721984826025,55.51413365865045,6.0,97.93892408893798,-8.867331533407125,-8.867331533407125,56.58168955578488,95.6247811454285,30.175760056236506
62.0,3247.77,164.164,22.671298963077955,5.461626250904691,10.463721984826025,56.47489013274667,6.0,101.07153733155536,-8.125250166429808,-8.125250166429808,56.70022469529762,98.0297703320804,33.204295470352974
63.0,3118.17,180.234,23.134096422166003,4.935296565012145,10.463721984826025,56.47489013274667,6.0,101.00800510475084,-9.07067372134422,-9.07067372134422,55.36374083861632,98.96305664804973,34.528642088089164
64.0,3107.24,181.59,23.28523074740413,4.866992924391165,10.463721984826025,59.11307831758506,6.0,103.72902397420638,-1.8651255975516108,-1.8651255975516108,57.41347634407323,93.87738416959333,34.598782227968485
65.0,3106.01,181.742,23.72431810720713,4.75682204934127,10.463721984826025,59.14229106047124,6.0,104.08715320184568,0.2793559255329256,0.2793559255329256,57.99224559142191,92.09565277505479,34.38276310916581
66.0,3050.17,188.666,24.188038889637145,4.127698696645317,10.463721984826025,59.93871947900116,6.0,104.71817905010964,10.089715980868236,10.089715980868236,60.13290672452664,83.20678154755629,33.1635908038979
67.0,2937.4,202.65,24.188038889637145,3.840648378179975,9.869407866050404,59.93871947900116,6.0,103.8368146128687,11.249963887521034,11.249963887521034,59.59080867359163,81.50909956221938,33.168254776148785
68.0,2922.78,204.462,24.188038889637145,3.4218023954640264,9.869407866050404,59.14229106047124,6.0,102.6215402116228,11.366416544774822,11.366416544774822,58.71478179136777,80.53193994423142,33.18357469763847
69.0,2884.58,209.199,24.188038889637145,3.510365402731246,9.869407866050404,59.11307831758506,6.0,102.68089047600388,17.618266354046682,17.618266354046682,59.52631659025149,74.68758244011623,32.779532203911415
70.0,2837.27,215.066,24.188038889637145,3.590795940281988,9.869407866050404,56.47489013274667,6.0,100.12313282871622,19.00541753058016,19.00541753058016,57.02733254548118,70.79678324656156,32.77486823166053
71.0,2801.7,219.477,24.188038889637145,3.553228585105454,9.869407866050404,55.21218607162274,6.0,98.82286141241576,17.879957696331672,17.879957696331672,55.74394591026295,70.63885644559181,32.77486823166053
72.0,2785.41,221.497,23.628894038093243,3.525381366237284,9.869407866050404,48.51000625599811,6.0,91.53368952637904,10.939775546453577,10.939775546453577,48.490036160351565,70.32512884555851,32.77486823166053
73.0,2784.45,221.615,23.4886937323094,3.4443920400876507,9.869407866050404,46.64002882869576,6.0,89.44252246714322,9.532512916623515,9.532512916623515,46.24183433242757,69.73068736197234,33.021365946168295
74.0,2782.91,221.807,21.935014619414545,3.480447751362573,9.869407866050404,44.84991615516309,6.0,86.13478639199062,5.896060058140094,5.896060058140094,42.071708099438965,70.12243333580332,33.94678529450444
75.0,2755.98,225.146,21.42124045182239,3.424099542304276,9.869407866050404,44.15285179893115,6.0,84.86759965910822,5.106575616729344,5.106575616729344,40.02496096771238,69.68432686452016,34.765941513537115
76.0,2742.43,226.826,21.42124045182239,3.4299590398386006,9.869407866050404,43.74803431874622,6.0,84.46864167645762,4.016353976443497,4.016353976443497,38.92377440034805,70.30704609914129,35.39962567523673
77.0,2736.68,227.539,21.42124045182239,3.329415418679349,9.869407866050404,42.84935433789225,6.0,83.4694180744444,4.562030382018634,4.562030382018634,37.89608975020181,68.81893706830294,35.48487770011975
78.0,2752.7,225.553,21.42124045182239,3.390020100220665,9.869407866050404,41.33392462070309,6.0,82.01459303879655,2.678793658912568,2.678793658912568,36.11101980274746,69.0736549083617,35.641428764526815
79.0,2787.11,221.286,21.42124045182239,3.213495183039841,9.869407866050404,41.33392462070309,6.0,81.83806812161572,4.743750447445706,4.743750447445706,35.88489710946025,66.78257542654136,35.641428764526815
80.0,2796.55,220.115,21.42124045182239,3.2016339463364094,9.869407866050404,43.74803431874622,6.0,84.24031658295543,6.735559653858502,6.735559653858502,37.57021559546476,67.1770707028379,36.34241476123164
81.0,2807.41,218.768,21.42124045182239,3.1309671860059325,9.869407866050404,43.74803431874622,6.0,84.16964982262495,6.7280647677183225,6.7280647677183225,37.479116738484606,67.09346673199792,36.34241476123164
82.0,2817.94,217.463,21.580528667478937,3.0696136755369565,9.869407866050404,43.74803431874622,6.0,84.26758452781252,9.03859567176366,9.03859567176366,37.893149027887965,64.80912915542287,35.954575799298574
83.0,2838.78,214.878,22.99937076992773,3.0562520322087066,9.869407866050404,51.52332956939276,6.0,93.4483602375796,17.310834209743007,17.310834209743007,46.20545166753816,65.41072559787821,36.516108140083055
84.0,2861.98,212.002,23.09981712661508,2.89731655086922,9.869407866050404,51.88191432237935,6.0,93.74845586591404,18.62923391879576,18.62923391879576,47.74438493478239,64.25366465383183,35.13851363784521
85.0,2885.91,209.035,23.29962278127322,2.743973566020129,9.869407866050404,51.88191432237935,6.0,93.79491853572311,17.782236930681435,17.782236930681435,46.978375519932136,64.47015547469498,35.27401688544427
86.0,2888.77,208.68,24.177765168625022,3.201235143331452,9.869407866050404,51.88191432237935,6.0,95.13032250038624,16.9724483272785,16.9724483272785,47.74759310354896,66.43197231417088,35.65682753790043
87.0,2877.25,210.108,24.442593706956387,3.2347683187377734,9.929471526990495,51.88191432237935,6.0,95.488747875064,16.020165297015424,16.020165297015424,47.92316545051564,67.59500249679519,35.69200234329497
88.0,2848.29,213.699,24.442593706956387,3.3313713647148204,9.929471526990495,51.88191432237935,6.0,95.58535092104106,16.024804834295878,16.024804834295878,48.235138517537,67.92105130659544,35.71071762335434
89.0,2769.23,223.503,24.442593706956387,3.3554817099601624,9.929471526990495,51.52332956939276,6.0,95.2508765132998,15.018698358159952,15.018698358159952,47.38233117405037,68.69049566484321,36.32686284895279
90.0,2705.81,231.367,24.442593706956387,3.3554817099601624,10.182371152001396,49.43904283215175,6.0,93.4194894010697,12.186744910086873,12.186744910086873,45.57722956561981,69.78728870383338,36.396804048300446
91.0,2604.26,243.959,24.442593706956387,3.545171880453631,10.182371152001396,46.47897844723986,6.0,90.64911518665129,8.162554435146262,8.162554435146262,42.38285223018035,70.65509225594184,36.43479446090775
92.0,2575.61,247.511,24.442593706956387,3.5251070362045462,10.182371152001396,45.91133253991012,6.0,90.06140443507245,2.77276517979341,2.77276517979341,41.8344637076005,75.5082328847677,36.44653435696059
93.0,2584.95,246.354,24.35908283734307,3.933181549002692,10.182371152001396,44.969187104372295,6.0,89.44382264271945,0.5019177538169686,0.5019177538169686,40.95444381531367,77.14076078430308,36.68823472280639
94.0,2654.02,237.789,24.31029419434372,4.158920131535285,10.435270777012295,44.91155477321229,6.0,89.81603987610359,-1.3845885464919547,-1.3845885464919547,40.78315545376593,79.50447232392906,37.33672832367116
95.0,2737.32,227.459,24.27038581710769,4.091706092424498,10.435270777012295,44.74172653402219,6.0,89.53908922056668,-2.0550773818398227,-2.0550773818398227,40.11266661841808,79.98125202361462,37.813508023356725
96.0,2752.14,225.622,24.27038581710769,4.079295106333526,10.435270777012295,44.47770995915498,6.0,89.2626616596085,-2.830482529237443,-2.830482529237443,39.33726147102046,80.44918839896171,38.28144439870381
97.0,2729.08,228.481,24.27038581710769,4.386378350978225,10.435270777012295,44.318936351032704,6.0,89.41097129613091,-4.426336733781696,-4.426336733781696,39.367535172356725,82.09102375643793,38.29715185029952
98.0,2717.82,229.877,24.31029419434372,4.448497469971924,10.435270777012295,44.318936351032704,6.0,89.51299879236065,-5.368264772926054,-5.368264772926054,39.45222421673603,83.13311139754293,38.31262240788085
