,crust,crust,crust,lithosphere,lithosphere,lithosphere,sediments,sediments,sediments,total,total,total
,min,mean,max,min,mean,max,min,mean,max,min,mean,max
age,,,,,,,,,,,,
75,23.591836251599986,26.25705092156859,28.923570573514738,10.497649728288447,11.157157380230128,11.822510241386988,2.384454653283714,2.8499278936742796,3.3154009644286218,36.47394063317215,40.264136195473,44.06148177933034
76,26.468915749531593,29.452479543329456,32.43724954266211,10.597650683740195,11.260219867800885,11.927131497103964,2.63428780342517,3.1485822315093834,3.6628764523875113,39.700854236696955,43.861281642639725,48.02725749215358
77,25.785747786917465,28.692187276237178,31.599202852237422,11.291725443771915,11.988788649451651,12.690013737555063,2.623042883060619,3.135113232269517,3.6471834010715005,39.70051611375,43.816089157958345,47.93639999086399
78,25.56390609574204,28.443612230696186,31.32384533652526,11.465008685934563,12.158589804081856,12.854957887912168,2.550039146596017,3.0476608081256096,3.5452822757732143,39.578953928272625,43.64986284290366,47.72408550021065
79,25.36548389256256,28.22508959097162,31.08520967189206,12.068646159842366,12.738394582323048,13.4124972285044,2.5134097319418416,3.004019539809555,3.4946291709083326,39.947539784346766,43.96750371310422,47.99233607130479
80,26.389966649115983,29.365527477482676,32.341646492378985,12.347650497081819,13.017747643075786,13.690570255408872,2.6667170375394367,3.1871450750245263,3.7075729383718485,41.40433418373724,45.57042019558299,49.7397896861597
81,25.758310656951043,28.664069348116527,31.57033134031397,11.758841123053456,12.41884596357677,13.081825443626332,2.476877034713784,2.960281037852514,3.4436848488018263,39.99402881471828,44.04319634954581,48.09584163274212
82,26.640712032358277,29.642212552677922,32.64401657200942,11.935493019364724,12.602100568143072,13.272015986418545,2.5504680576834886,3.048287090581894,3.546105949342078,41.12667310940649,45.292600211402885,49.46213850777004
83,26.895735179804106,29.920901606720363,32.946068035557474,12.217257538067383,12.898175633227766,13.581147220602524,2.5194016813821403,3.0114059882358273,3.5034101183792417,41.632394399253634,45.83048322818396,50.03062537453924
84,24.886133838666332,27.685741467486416,30.48671870107658,9.639345339056911,10.212959618674187,10.78977694503568,2.4473173577542857,2.925114014607856,3.4029105060707243,36.97279653547753,40.823815100768456,44.679406152182985
85,26.317787651934026,29.277122616564192,32.23772172622296,10.471686474468797,11.10846743557714,11.74945939833772,2.5149949504650904,3.0057476605586926,3.4965002016713624,39.30446907686791,43.39133771270002,47.48368132623204
86,28.263154473337856,31.442762255966127,34.62515365958477,10.90189391589653,11.552760589686844,12.2072243190165,2.261840899046613,2.7034217240043956,3.1450024066126145,41.426889288281,45.698944569657364,49.977380385213884
87,27.248635864792707,30.3156951208193,33.38461047193866,10.885787139460302,11.545980895120957,12.210675131019158,2.320608154702289,2.7735726670034397,3.2265370056174776,40.4550311589553,44.6352486829437,48.821822608575296
88,26.851935547433662,29.879553918921385,32.90875975636847,10.902547539079514,11.583075170296333,12.270178857917024,2.3064528660666554,2.7569450119008883,3.2074369975108032,40.06093595257983,44.2195741011186,48.386375611796296
89,27.447794024050637,30.543435728662573,33.64059905009837,10.863511619694503,11.541532634799289,12.225644366463136,2.351671455538317,2.8108065679428273,3.2699415259542457,40.66297709928346,44.89577493140469,49.136184942515754
90,27.178959071176983,30.239753954293505,33.30144231237408,11.319525413015654,11.970808941075065,12.625524075576466,2.3137430200034093,2.7651380551104072,3.216532920775359,40.812227504196045,44.97570095047897,49.1434993087259
91,26.53897688027404,29.527285314018812,32.51609641690376,11.926150305124564,12.60844021604113,13.293389831355638,2.228166512856117,2.6628373922707422,3.0975081224381964,40.69329369825472,44.79856292233069,48.906994370697596
92,26.0821679257393,29.01849938838339,31.95517663588751,11.882121877392557,12.565995906937589,13.25319533927291,2.210085473783182,2.641227126433876,3.0723686240957595,40.174375276915036,44.22572242175485,48.28074059925618
93,25.8060934634455,28.71296392982332,31.620130489935015,12.176494148329175,12.884006256824252,13.59661208260201,2.2670183763179046,2.709344779790994,3.1516710029949575,40.24960598809258,44.30631496643857,48.36841357553198
94,25.99756435397513,28.924609831771598,31.851831567777122,12.165005545706048,12.8784973164586,13.597660259432184,2.221654577570918,2.654960867485899,3.0882669989928235,40.38422447725209,44.458068015716094,48.53775882620213
95,25.929049112930944,28.84743595207197,31.765822762050952,11.307384970889808,11.997043599232564,12.694096897816275,2.259273905613148,2.7002748878672294,3.141275691904005,39.4957079894339,43.54475443917176,47.60119535177123
96,25.513502807408315,28.387152902877517,31.260802965182904,11.45521626912669,12.167244516330676,12.88821008229423,2.1608499716875,2.582555738926973,3.0042613331614545,39.12956904822251,43.136953158135164,47.153274380638585
97,25.603582346115516,28.48934285213393,31.375103343731396,11.155010156108368,11.856722870729033,12.567419618770122,2.233923251543907,2.669826431546604,3.1057294211816004,38.99251575376779,43.01589215440956,47.04825238368312
98,25.564188536392454,28.44667958771372,31.329170607559195,11.22315036538254,11.935103250650634,12.656127703878845,2.079622012968045,2.4854916530091913,2.8913611417545297,38.86696091474304,42.86727449137355,46.87665945319257
99,24.82523226798787,27.626107989094294,30.426983688241876,11.064410525858403,11.792458755728811,12.530761048119624,2.044335292304202,2.4431706661496877,2.8420058938307355,37.93397808615048,41.86173741097279,45.799750630192236
100,23.978336981162126,26.702462118188024,29.427427259209274,9.543465145619841,10.178501367928412,10.824316014237976,2.0242492828934857,2.419040198394775,2.8138309688212,35.54605140967545,39.30000368451121,43.06557424226845
101,24.065147351414772,26.794667137630633,29.524493321793532,9.434287013068989,10.095019136131441,10.76790162661276,2.014354248940717,2.407259403212092,2.800164897439276,35.51378861342448,39.29694567697417,43.092559845845564
102,23.304260267083443,25.948655759542795,28.593733077963925,9.210745956217579,9.861707473130386,10.52514825114199,1.9857382756411837,2.3733735204058077,2.761008620114667,34.500744498942204,38.18373675307899,41.87988994922058
103,23.411069050933726,26.070803219424665,28.731699942923946,9.339693822337322,9.994546980014576,10.662816340938498,1.9834766143237221,2.3704116630221552,2.757346568667985,34.73423948759477,38.43576186246139,42.15186285253043
104,22.41633717744619,24.96045701323804,27.504936676234152,7.518135970656048,8.06273718327294,8.61727446132548,1.7528789864135268,2.0948802048322994,2.4368812979504417,31.687352134515766,35.118074401343286,38.559092435510074
105,22.434141062536888,24.97668803796509,27.519525485934512,7.424388093543005,7.960984815930516,8.507346129269223,1.7053702616638207,2.0380880584505308,2.370805725978035,31.563899417743713,34.97576091234614,38.39767734118177
