# Age_Myr	SL (m) # Miller et al (0-66.6 Ma), Haq hybrid 66.7 - 205 Ma
82.9	214.0655629				
83	215.2958907				
83.1	214.7180465				
83.2	211.3333188				
83.3	204.2423444				
83.4	174.1422206				
83.5	133.1030822				
83.6	127.9132483				
83.7	128.1939993				
83.8	132.0024076				
83.9	141.8700352				
84	166.3015437				
84.1	194.3180825				
84.2	206.53882				
84.3	211.91249				
84.4	212.8455898				
84.5	211.0097431				
84.6	187.0504992				
84.7	135.7126256				
84.8	131.003289				
84.9	130.7308931				
85	133.5587946				
85.1	143.4657721				
85.2	162.5860517				
85.3	189.4740494				
85.4	204.9837873				
85.5	209.0050957				
85.6	209.1094508				
85.7	205.3846466				
85.8	183.6881259				
85.9	157.4453387				
86	156.191232				
86.1	163.5354045				
86.2	202.3570588				
86.3	207.8609792				
86.4	207.2598645				
86.5	175.1919108				
86.6	159.4873154				
86.7	159.3705101				
86.8	163.4067902				
86.9	191.9586563				
87	204.8458461				
87.1	209.7391582				
87.2	211.2728435				
87.3	211.0755714				
87.4	208.8933157				
87.5	201.8936084				
87.6	176.9371772				
87.7	139.9613745				
87.8	129.1831076				
87.9	126.3397475				
88	126.6259035				
88.1	129.3064037				
88.2	137.8890987				
88.3	152.0363498				
88.4	174.8996101				
88.5	192.7203167				
88.6	204.0437259				
88.7	210.8700043				
88.8	213.7705926				
88.9	214.6543152				
89	214.3277511				
89.1	211.2567824				
89.2	200.3418027				
89.3	140.5708659				
89.4	136.1757502				
89.5	135.8525453				
89.6	139.2172802				
89.7	149.3147526				
89.8	174.2061239				
89.9	197.5851432				
90	213.2198056				
90.1	221.0388182				
90.2	225.7746344				
90.3	228.084018				
90.4	228.4180861				
90.5	227.8157805				
90.6	223.9649391				
90.7	215.9118924				
90.8	192.5768726				
90.9	151.6553673				
91	138.8551664				
91.1	132.9477777				
91.2	130.0274815				
91.3	129.1547894				
91.4	129.0641012				
91.5	130.942613				
91.6	135.0150695				
91.7	142.796583				
91.8	164.6075764				
91.9	222.1916408				
92	243.0646553				
92.1	246.3792093				
92.2	245.4353678				
92.3	238.1973206				
92.4	228.0547062				
92.5	221.7230362				
92.6	224.4019058				
92.7	248.4179646				
92.8	251.7181982				
92.9	230.6237857				
93	186.3662327				
93.1	186.9414065				
93.2	238.5267821				
