# Age (kyr)	GMGSL (m)Miller et al. (2024)
1.725774	-29.0644
1.727749	-12.5574
1.729109	-15.8689
1.730016	-30.9682
1.731377	-24.8429
1.735005	-17.7911
1.739996	-19.9406
1.744010	-31.4950
1.747012	-24.4510
1.748577	-41.3914
1.751775	-28.2374
1.753679	-22.1368
1.755826	-26.8478
1.758404	-25.9219
1.760679	-9.0303
1.763203	-12.3354
1.766103	-16.1103
1.768586	-23.1634
1.771068	-7.7036
1.773963	-9.6016
1.776754	-15.2466
1.779601	-30.2572
1.781927	-30.2697
1.783737	-42.4534
1.785605	-33.0986
1.789485	-31.7151
1.793219	-35.4773
1.797105	-33.1596
1.797762	-31.3354
1.799178	-31.3434
1.800876	-29.9510
1.802009	-21.5466
1.803283	-13.6124
1.804700	-17.3604
1.805976	-20.6393
1.807394	-16.9129
1.808953	-19.2590
1.810370	-14.1334
1.813471	-22.5582
1.815016	-17.4355
1.816563	-34.7103
1.817955	-36.1176
1.819503	-23.5322
1.821050	-16.5472
1.822751	-16.0937
1.824142	-14.7055
1.825532	-8.6562
1.827231	0.1850
1.828622	-13.3421
1.830015	-14.2850
1.831713	-14.2982
1.833228	-20.3654
1.834743	-21.7735
1.835803	-28.7662
1.837466	-17.6025
1.838072	-23.6595
1.840643	-18.5574
1.842460	-18.1056
1.843975	-18.5823
1.847005	-15.8142
1.848402	-9.7790
1.849658	-7.4644
1.850723	-6.5437
1.851733	-13.5265
1.852743	-11.6751
1.853803	-11.6839
1.854863	-14.0165
1.855922	-14.9546
1.856982	-24.7213
1.858042	-34.0213
1.859203	-25.6659
1.860528	-39.6104
1.862037	-41.0121
1.863624	-39.6275
1.865211	-45.6719
1.866799	-50.7860
1.868386	-39.6537
1.869973	-31.7735
1.871561	-28.9997
1.873148	-29.9381
1.874789	-33.6595
1.876556	-29.4969
1.878322	-12.8171
1.880261	-10.5156
1.882056	-15.6295
1.883847	-20.2780
1.885638	-15.1955
1.887426	-20.3056
1.889215	-16.6145
1.891010	-14.3141
1.892919	-14.3302
1.896735	-18.0646
1.898644	-31.0343
1.900965	-34.2877
1.903353	-35.6904
1.905742	-29.6957
1.908121	-31.0990
1.910441	-20.0256
1.912532	-26.5101
1.915087	-27.9147
1.917410	-21.9298
1.919518	-17.3308
1.921375	-17.3469
1.923284	-13.2108
1.925216	-7.6927
1.927148	-10.9403
1.932946	-5.4647
1.934710	-6.4044
1.936888	-2.2801
1.939467	-5.9927
1.942046	-33.6494
1.944625	-37.3521
1.947351	-25.4059
1.950102	-24.9696
1.952853	-26.8341
1.955711	-27.3191
1.958964	-22.2911
1.962047	-29.2144
1.965094	-26.9446
1.968140	-26.5140
1.970907	-19.6523
1.973043	-18.2971
1.974992	-5.9229
1.976941	-6.4048
1.978903	-15.6061
1.980857	-7.8274
1.982739	-2.3443
1.984620	-19.3399
1.986501	-19.8196
1.988385	-17.0892
1.990269	-10.6914
1.992154	-17.1330
1.994036	-15.3214
1.995917	-19.4693
1.997798	-16.7418
1.999723	-18.1399
2.001733	-25.4855
2.003140	-24.1194
2.004224	-27.7912
2.005597	-30.5482
2.006970	-27.3499
2.008137	-14.9893
2.008991	-10.8727
2.010987	-22.3374
2.013561	-16.4015
2.016860	-7.2674
