Sea_level_m,CCD_p2.5,CCD_median,CCD_p97.5
82.49459296482411,3841.899000507634,3942.8037701132835,4138.514146281855
83.26697989949747,3836.1195941413625,3936.4600491004985,4135.492601836396
84.03936683417083,3830.209476967902,3930.0530821907896,4132.080294403064
84.81175376884421,3823.8850242366684,3923.8576807166573,4128.798733847392
85.58414070351758,3817.8828798760087,3917.5886725857154,4125.630132092163
86.35652763819094,3811.8051080125147,3911.2568498312553,4122.782201202345
87.1289145728643,3805.684907572918,3904.9611702423344,4119.645181759942
87.90130150753767,3799.569111425926,3898.6838278409928,4116.377910154113
88.67368844221104,3793.5132757127476,3892.4134512426076,4113.492869660435
89.44607537688441,3787.4300229392134,3886.2228188895015,4110.305838784552
90.21846231155777,3781.0841002961943,3879.856398195015,4107.169752076842
90.99084924623114,3774.777556595315,3873.761293031588,4104.3115156224485
91.76323618090451,3768.5954859975636,3867.3109687201422,4101.217180344458
92.53562311557788,3762.46579943961,3861.03855655203,4098.268080271427
93.30801005025124,3756.300291366011,3854.9350503241453,4094.970937432002
94.0803969849246,3750.1085418101206,3848.7007137128858,4091.5636523125463
94.85278391959797,3744.0044616434293,3842.7421233205587,4088.289809261678
95.62517085427135,3737.7833502042804,3836.339406266372,4085.2481354522793
96.39755778894471,3731.602635493095,3830.041001795279,4082.2621739812776
97.16994472361807,3725.343773085409,3823.93695371911,4078.742542577894
97.94233165829144,3719.2935090109595,3817.6450789944174,4075.3364598810012
98.71471859296481,3713.055620900707,3811.394718186264,4072.1283135528365
99.48710552763818,3706.5826147309704,3805.3228220092333,4069.1201376325503
100.25949246231154,3700.418391816949,3799.0705043662747,4066.0221551878144
101.0318793969849,3693.9189868294006,3793.0195400715284,4062.982617980741
101.80426633165827,3687.3100929875786,3786.8771761082985,4059.7664158264292
102.57665326633165,3680.388673540132,3780.7026627654423,4056.5544611481523
103.34904020100501,3673.6558360105555,3774.6149232056714,4053.3323797549597
104.12142713567837,3667.038658146237,3768.4804362901905,4050.1252799382773
104.89381407035174,3660.578591278335,3762.1070853855654,4046.935837211927
105.6662010050251,3653.955360557325,3755.9432973527637,4044.25824367419
106.43858793969848,3647.3488666449553,3749.6961254822063,4041.062466938815
107.21097487437184,3640.5464137886293,3743.720645300823,4038.185458420277
107.9833618090452,3633.6633099687083,3737.7646904109574,4035.200736585443
108.75574874371857,3627.0739629157806,3731.6705779866124,4032.001533963137
109.52813567839195,3620.443433734899,3725.4264399395065,4029.157986008186
110.30052261306531,3613.41160859029,3719.3215990462977,4026.390865102858
111.07290954773867,3606.7211240896895,3713.027375289803,4023.4793296284934
111.84529648241204,3599.968023824583,3707.0673796733813,4020.6813913179203
112.6176834170854,3593.1601640410395,3700.9419213935603,4017.59509534413
113.39007035175878,3586.053024021684,3694.9849395131814,4014.655858490401
114.16245728643214,3579.171777132446,3689.1559699947375,4011.617000343939
114.93484422110551,3571.7907095655537,3683.033988389666,4008.786294470909
115.70723115577887,3564.724161938767,3677.088684350515,4005.9444816504333
116.47961809045223,3558.0540174675343,3671.0616369303216,4003.170708773326
117.2520050251256,3551.2338410797065,3665.118760018115,4000.395639409978
118.02439195979896,3543.67759001379,3659.0415769263095,3997.3671851074782
118.79677889447235,3536.6925997757257,3653.013698806459,3994.571729412444
119.56916582914572,3529.2648502478714,3646.9054993398195,3991.6356942638868
120.34155276381908,3522.0888104824085,3640.9632929515383,3988.5110799862264
121.11393969849244,3514.7578599360245,3634.8465721771827,3985.319619277848
121.88632663316581,3507.2567823181334,3628.8023551451206,3982.2851389088473
122.65871356783917,3500.279402035235,3622.898357847642,3979.079290664281
123.43110050251254,3493.063428936001,3616.9657231533024,3975.786595629956
124.2034874371859,3486.0268921226275,3610.9774523613846,3973.0774608731354
124.97587437185926,3478.781786107392,3604.9457736805834,3970.3713755416234
125.74826130653265,3471.4635505717397,3598.8827166063393,3967.269393973415
126.52064824120602,3463.8185442017657,3592.768305837264,3964.1162515758974
127.29303517587938,3456.7351901478496,3586.7811838458447,3961.2699013845536
128.06542211055273,3448.8839895028345,3580.682962938896,3958.264736948279
128.8378090452261,3441.2353763832043,3574.6771792513628,3955.1864207688673
129.61019597989946,3434.299250631626,3568.7621959805315,3952.10854079273
130.38258291457282,3426.845668229378,3562.8939586362276,3949.0304427149554
131.15496984924619,3419.1942150634945,3556.943957413141,3946.11042675008
131.92735678391955,3411.6913323149665,3550.949471925852,3943.073411401695
132.69974371859297,3404.445648400404,3544.967335368064,3940.025637076052
133.47213065326633,3397.181465120877,3538.9679355477447,3936.977862750409
134.2445175879397,3389.3402013430064,3532.789970815722,3933.9300884247655
135.01690452261306,3381.867004293649,3526.9022703249134,3930.8380012922294
135.78929145728642,3373.915068720454,3521.0065822631295,3927.666244610814
136.5616783919598,3366.0018699208094,3515.133627775577,3924.556036076072
137.33406532663315,3358.1598280231988,3509.1261881631326,3921.6842494137804
138.10645226130652,3350.7452276147005,3503.216811194841,3918.708178032061
138.87883919597988,3342.995807510086,3497.2741938126387,3915.662898121668
139.65122613065324,3335.0468698672494,3491.2539624222773,3912.6168985295785
140.4236130653266,3327.0932673265006,3485.1376971474574,3909.5329041191203
141.196,3319.147782573464,3479.3570188989593,3906.5329809899213
