,gross_atmospheric_outflux_with_unbiased_rifts,gross_atmospheric_outflux_with_unbiased_rifts,gross_atmospheric_outflux_with_unbiased_rifts,gross_plate_influx_with_sed_unbiased_rifts,gross_plate_influx_with_sed_unbiased_rifts,gross_plate_influx_with_sed_unbiased_rifts,net_atmospheric_outflux_with_sed_unbiased_rifts,net_atmospheric_outflux_with_sed_unbiased_rifts,net_atmospheric_outflux_with_sed_unbiased_rifts
,min,mean,max,min,mean,max,min,mean,max
Age (Ma),,,,,,,,,
137,74.88270437145059,96.31400174514668,125.33971490471194,124.1563028138022,131.999139560958,142.40214362099883,-64.95927193666324,-35.68513781581133,3.7435794037947403
138,74.81397219611767,96.29624605556292,125.33971490471194,122.77502515450547,130.61782414664427,141.01648727858134,-63.64665094266539,-34.32157809108135,5.120553890004743
139,69.94856086997079,88.92077040279644,115.69367187546584,105.0568397822883,112.2744346146291,121.92029215540681,-49.54346857699912,-23.353664211832665,13.06509480161445
140,68.23258595075515,88.63095773403285,115.44633657750153,94.97262116262289,102.23268010498315,112.01651304723266,-41.260153096588255,-13.601722370950299,22.997489414767898
141,68.18164345356985,88.61387213714268,115.26287435201215,89.73772361463767,96.8558965138464,106.34128287879301,-35.792425959485286,-8.242024376703725,27.89236420311235
142,68.29938356399134,88.4394770728071,115.20625892551273,87.90857452939736,95.13345412800572,104.67924557398477,-34.05895016262275,-6.69397705519863,29.618596243486053
143,65.11200695655286,86.5509492727377,112.83214460624689,87.69622716483083,95.021217668068,104.68110249870111,-37.23420121475232,-8.470268395330308,27.470811768811984
144,64.92762628929958,86.29147235268509,112.76864188684196,73.22663396792507,80.46900691414248,90.18817934789791,-22.783753571060316,5.822465438542608,42.01880740645491
145,63.081572014361285,86.10523560888824,112.60366891588484,58.10893164541585,65.35632397212409,75.06561501973258,-9.52214428447104,20.74891163676415,56.95663599136924
146,59.78540716214401,82.14103158921941,107.7444771747544,55.182142865501504,62.47857053362339,72.1583142048015,-9.989591039601265,19.66246105559602,54.94565031230911
147,61.572295652887036,82.14784191568302,107.39019617412374,53.519924001331106,60.7162407648242,70.28189105134824,-6.340261875430258,21.431601150858818,56.239605695823585
148,61.06888750045745,82.03250679817566,107.37601644375304,52.83293786974001,59.97001445890666,69.67723191830868,-6.038203547615865,22.062492339269,57.1132194442484
149,60.637554199714565,85.00682893458523,106.52401715941079,50.29785699821387,57.09489248549652,66.27867604088381,-3.2543737730646143,27.911936449088707,58.61290822930155
150,63.128808638622914,82.753280076708,105.81563904532688,50.269130261203586,57.11528616416676,66.12220437194291,-0.8326334285070232,25.637993912541233,57.70727108893627
151,63.006971590958926,82.57006794096208,105.0600802268919,49.2211561209573,55.915494375878815,64.79383496679496,0.39713896015859973,26.65457356508326,58.02292644192923
152,62.913347675839915,82.49294182686108,104.9988714923109,47.188574082928056,53.73390862482732,62.5423368838867,2.634104509113328,28.759033202033763,60.07339112654295
153,64.42833338912232,82.56030490915033,104.47825109655564,45.724084489008646,52.13348678519559,60.77946583325861,5.885444307739775,30.42681812395474,60.990743359423064
154,63.842130435028146,81.72888598130169,101.71673868503288,45.56172789622632,51.87341948162263,60.366302204080135,5.657019368009202,29.855466499679054,58.33620192586775
155,59.87951731044506,76.5956092193442,92.76139798958442,39.59390753499303,44.722502758175075,51.78786384539963,10.028419329087939,31.873106461169122,55.1042563186339
156,59.79961899003401,75.8789346860139,91.88373575652639,39.57410789240083,44.65455588821145,51.66114589452263,10.06461510601195,31.22437879780246,54.23576987462613
157,60.030456825707915,75.84355348768355,91.84260479539944,39.35696180815741,44.43073754284783,51.42531890521187,10.525943548169664,31.41281594483572,54.40644861491565
158,59.56075370137666,75.57065351937263,91.55928841716542,39.267436935111455,44.33639189908433,51.31068902921682,10.15540683831945,31.234261620288294,54.19719364821357
159,58.14077260154551,74.23446861920796,90.13352408167242,37.50359101984541,42.23813720025876,48.864861260647615,11.16808922087339,31.996331418949197,54.52211094180251
160,58.23417183828872,73.51692805049385,90.55509552201165,37.71055612515477,42.59893056817431,49.38319690469416,10.746866827094863,30.917997482319535,54.74043129035719
161,58.990126381963115,74.77968563234721,91.02611654446238,38.208362530926564,43.1659597750662,50.065316195870174,10.866569362757282,31.61372585728101,54.75951319020016
162,59.27884977191209,74.96418234745116,91.11378075890228,38.04767832193957,42.93831681406274,49.70817238335219,11.449894465726189,32.02586553338842,54.945319514129
163,59.27884977191209,74.99956354578148,91.93792011055439,38.500075070314146,43.57121666706003,50.59672377081076,10.636491508106182,31.428346878721456,55.39221054724509
164,59.27884977191209,75.07665102525809,92.35965585361252,38.3013318566925,43.362517432935505,50.38301900090036,10.855146762733582,31.714133592322582,56.017639988641875
165,58.176920386060644,73.8038813271002,91.31888583211494,38.05978029924658,43.11968099342515,50.137307043011894,9.997338698456929,30.68420033367505,55.21683088827654
